"state","city","datePosted","security_jobsPosted"
"AR","springdale",2020-07-24,7
"AR","springdale",2020-07-25,3
"AR","springdale",2020-07-26,1
"AR","springdale",2020-07-28,4
"AR","springdale",2020-07-29,5
"AR","springdale",2020-07-30,3
"AR","springdale",2020-07-31,3
"AR","springdale",2020-08-01,4
"AR","springdale",2020-08-03,4
"AR","springdale",2020-08-04,1
"AR","springdale",2020-08-06,2
"AR","springdale",2020-08-07,2
"AR","springdale",2020-08-11,1
"AR","springdale",2020-08-12,2
"AR","springdale",2020-08-13,3
"AR","springdale",2020-08-15,2
"AR","springdale",2020-08-16,1
"AR","springdale",2020-08-17,1
"AZ","chandler",2020-06-27,2
"AZ","chandler",2020-06-29,1
"AZ","chandler",2020-06-30,3
"AZ","chandler",2020-07-01,4
"AZ","chandler",2020-07-02,2
"AZ","chandler",2020-07-03,2
"AZ","chandler",2020-07-07,1
"AZ","chandler",2020-07-08,3
"AZ","chandler",2020-07-09,5
"AZ","chandler",2020-07-10,2
"AZ","chandler",2020-07-11,2
"AZ","chandler",2020-07-12,2
"AZ","chandler",2020-07-13,2
"AZ","chandler",2020-07-14,4
"AZ","chandler",2020-07-15,1
"AZ","chandler",2020-07-16,4
"AZ","chandler",2020-07-17,7
"AZ","chandler",2020-07-18,9
"AZ","chandler",2020-07-19,4
"AZ","chandler",2020-07-20,4
"AZ","chandler",2020-07-21,11
"AZ","chandler",2020-07-22,20
"AZ","chandler",2020-07-23,11
"AZ","chandler",2020-07-24,8
"AZ","chandler",2020-07-26,6
"AZ","chandler",2020-07-27,3
"AZ","chandler",2020-07-28,8
"AZ","chandler",2020-07-29,6
"AZ","chandler",2020-07-30,4
"AZ","chandler",2020-07-31,9
"AZ","chandler",2020-08-01,6
"AZ","chandler",2020-08-02,4
"AZ","chandler",2020-08-03,3
"AZ","chandler",2020-08-04,6
