"state","city","datePosted","warehouse_jobsPosted"
"AL","mobile",2020-08-17,5
"AL","montgomery",2020-06-23,1
"AL","montgomery",2020-06-24,1
"AL","montgomery",2020-06-29,1
"AL","montgomery",2020-06-30,2
"AL","montgomery",2020-07-01,1
"AL","montgomery",2020-07-02,4
"AL","montgomery",2020-07-06,2
"AL","montgomery",2020-07-07,5
"AL","montgomery",2020-07-08,5
"AL","montgomery",2020-07-09,3
"AL","montgomery",2020-07-10,2
"AL","montgomery",2020-07-11,7
"AL","montgomery",2020-07-13,3
"AL","montgomery",2020-07-14,6
"AL","montgomery",2020-07-15,4
"AL","montgomery",2020-07-16,4
"AL","montgomery",2020-07-17,5
"AL","montgomery",2020-07-18,7
"AL","montgomery",2020-07-19,2
"AL","montgomery",2020-07-20,6
"AL","montgomery",2020-07-21,3
"AL","montgomery",2020-07-22,4
"AL","montgomery",2020-07-23,12
"AL","montgomery",2020-07-24,2
"AL","montgomery",2020-07-25,8
"AL","montgomery",2020-07-26,3
"AL","montgomery",2020-07-27,1
"AL","montgomery",2020-07-28,3
"AL","montgomery",2020-07-29,7
"AL","montgomery",2020-07-30,6
"AL","montgomery",2020-08-01,2
"AL","montgomery",2020-08-02,2
"AL","montgomery",2020-08-03,4
"AL","montgomery",2020-08-04,2
"AL","montgomery",2020-08-05,3
"AL","montgomery",2020-08-07,6
"AL","montgomery",2020-08-08,1
"AL","montgomery",2020-08-10,3
"AL","montgomery",2020-08-11,1
"AL","montgomery",2020-08-12,2
"AL","montgomery",2020-08-13,2
"AL","montgomery",2020-08-14,2
"AL","montgomery",2020-08-15,3
"AL","tuscaloosa",2020-06-23,3
"AL","tuscaloosa",2020-06-24,2
"AL","tuscaloosa",2020-06-25,1
"AL","tuscaloosa",2020-06-29,1
"AL","tuscaloosa",2020-07-02,3
"AL","tuscaloosa",2020-07-03,1
"AL","tuscaloosa",2020-07-08,3
"AL","tuscaloosa",2020-07-10,2
"AL","tuscaloosa",2020-07-11,1
"AL","tuscaloosa",2020-07-13,2
"AL","tuscaloosa",2020-07-14,3
"AL","tuscaloosa",2020-07-15,6
"AL","tuscaloosa",2020-07-16,4
"AL","tuscaloosa",2020-07-17,10
"AL","tuscaloosa",2020-07-18,4
"AL","tuscaloosa",2020-07-19,1
"AL","tuscaloosa",2020-07-21,8
"AL","tuscaloosa",2020-07-22,5
"AL","tuscaloosa",2020-07-23,9
"AL","tuscaloosa",2020-07-24,7
"AL","tuscaloosa",2020-07-25,4
"AL","tuscaloosa",2020-07-26,1
"AL","tuscaloosa",2020-07-27,3
"AL","tuscaloosa",2020-07-28,6
"AL","tuscaloosa",2020-07-29,5
"AL","tuscaloosa",2020-07-30,16
"AL","tuscaloosa",2020-07-31,3
"AL","tuscaloosa",2020-08-01,3
"AL","tuscaloosa",2020-08-03,4
"AL","tuscaloosa",2020-08-04,4
"AL","tuscaloosa",2020-08-05,2
"AL","tuscaloosa",2020-08-06,2
"AL","tuscaloosa",2020-08-07,7
"AL","tuscaloosa",2020-08-08,4
"AL","tuscaloosa",2020-08-09,2
"AL","tuscaloosa",2020-08-10,5
"AL","tuscaloosa",2020-08-11,1
"AL","tuscaloosa",2020-08-12,1
"AL","tuscaloosa",2020-08-13,1
"AL","tuscaloosa",2020-08-14,1
"AL","tuscaloosa",2020-08-17,1
"AR","bentonville",2020-06-23,3
"AR","bentonville",2020-06-25,2
"AR","bentonville",2020-06-26,1
"AR","bentonville",2020-06-30,1
"AR","bentonville",2020-07-01,7
"AR","bentonville",2020-07-02,3
"AR","bentonville",2020-07-04,2
"AR","bentonville",2020-07-06,4
"AR","bentonville",2020-07-07,5
"AR","bentonville",2020-07-08,7
"AR","bentonville",2020-07-09,7
"AR","bentonville",2020-07-10,4
"AR","bentonville",2020-07-11,3
"AR","bentonville",2020-07-13,1
"AR","bentonville",2020-07-14,2
"AR","bentonville",2020-07-15,5
"AR","bentonville",2020-07-16,4
"AR","bentonville",2020-07-17,7
"AR","bentonville",2020-07-18,1
"AR","bentonville",2020-07-19,2
"AR","bentonville",2020-07-20,6
"AR","bentonville",2020-07-21,7
"AR","bentonville",2020-07-22,6
"AR","bentonville",2020-07-23,9
"AR","bentonville",2020-07-24,3
"AR","bentonville",2020-07-25,4
"AR","bentonville",2020-07-27,4
"AR","bentonville",2020-07-28,2
"AR","bentonville",2020-07-29,6
"AR","bentonville",2020-07-30,4
"AR","bentonville",2020-07-31,12
"AR","bentonville",2020-08-01,6
"AR","bentonville",2020-08-02,4
"AR","bentonville",2020-08-03,3
"AR","bentonville",2020-08-04,6
"AR","bentonville",2020-08-05,6
"AR","bentonville",2020-08-06,8
"AR","bentonville",2020-08-07,5
"AR","bentonville",2020-08-08,7
"AR","bentonville",2020-08-10,4
"AR","bentonville",2020-08-11,2
"AR","bentonville",2020-08-12,3
"AR","bentonville",2020-08-13,6
"AR","bentonville",2020-08-14,2
"AR","conway",2020-06-23,2
"AR","conway",2020-06-24,1
